rank,filename,width,height,style,complexity,sharpness,annotation_value_score,has_wall,has_door,has_window,has_bedroom,has_living_room,has_kitchen,has_bathroom,has_bed,has_wc,has_sink,has_stove,visible_classes,notes
1,94da19bc-7654-43eb-9ba6-ae16efcbf547.jpg,650,929,furnished_color,high,4542.8,192.34,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
2,e6796a33-6522-4140-8a7f-3aad46258b23.jpg,564,828,furnished_color,high,6160.0,191.19,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
3,244a80fe000e5b8728c17211b2b7525d.jpg,735,607,furnished_color,high,6504.4,191.02,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
4,6ba1d00d-4ec7-4123-996b-50fe3a14af79.jpg,500,877,furnished_color,high,17925.0,190.95,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
5,bcdae71e-cca6-46fb-ac11-add668ccb2dd.jpg,600,677,furnished_color,high,5131.3,190.67,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
6,ccc951d1-7ce8-4546-ba57-99423b65202b.jpg,688,1257,line_drawing,high,5719.3,190.61,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; B&W CAD
7,b2a1a7e3abbe457cce92ac490428bafa.jpg,564,1993,line_drawing,high,4828.8,189.63,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; B&W CAD
8,fee59751-e33c-4787-9cf6-e16bcfac73c7.jpg,686,1188,line_drawing,high,4787.0,188.18,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; B&W CAD
9,358ffd35-b79e-46c1-934c-1ce9543958f2.jpg,640,903,furnished_color,high,6173.2,186.47,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
10,fc915e1bc20c93897f96769b243893d2.jpg,533,1031,furnished_color,high,5325.7,185.4,True,True,True,True,True,True,True,True,True,True,True,bathroom;bed;bedroom;chair;door;kitchen;living_room;sink;sofa;stove;table;toilet;wall;wardrobe;window,full symbol coverage; furnished
